,status,Number of immigrants
0,Skilled Worker,77860
1,Provincial Nominee Program,68645
2,Sponsored Spouse or Partner,64780
3,Canadian Experience,30305
4,Sponsored Parent or Grandparent,22010
5,Privately Sponsored Refugee,19140
6,Government-Assisted Refugee,9950
7,Caregiver,9800
8,Atlantic Immigration Pilot Programs,4145
9,Sponsored Children,4030
10,Investor,3215
11,Skilled Trade,1170
12,Blended Sponsorship Refugee,990
13,Self-Employed,870
14,Start-up Business,515
15,Sponsored Extended Family Member,485
16,Entrepreneur,115
