,Firm (Headquarters),Revenue in million Canadian dollars
0,Deloitte LLP(Toronto),2088.0
1,KPMG LLP(Toronto),1324.16
2,PwC(Toronto),1290.0
3,Ernst & Young LLP(Toronto),1111.0
4,Grant Thornton Canada*(Toronto),597.0
5,MNP LLP(Calgary),597.0
6,BDO Canada LLP(Toronto),534.0
7,Collins Barrow(Toronto),213.5
8,Richter(Montreal),101.9
9,Mallette(Québec),71.78
10,Crowe Soberman LLP(Toronto),40.36
11,Crowe MacKay LLP(Vancouver),38.4
12,HLB/Schwartz Levitsky Feldman(Montreal),38.0
13,Welch LLP(Ottawa),30.54
14,Ginsberg Gluzman Fage & Levitz LLP(Ottawa),25.6
15,PSB Boisjoli LLP(Montreal),24.98
16,Manning Elliott LLP(Vancouver),21.86
17,Zeifmans LLP(Toronto),20.9
18,"Millard Rouse & Rosebrugh LLP(Brantford, Ont.)",20.08
19,DMCL LLP(Vancouver),19.7
