,Year,Inflation rate compared to previous year
0,2025*,2.44%
1,2024*,2.08%
2,2023*,2.1%
3,2022*,2.5%
4,2021*,0.8%
5,2020*,0.55%
6,2019,3.29%
7,2018,6.78%
8,2017,7.2%
9,2016,-0.62%
10,2015,0.05%
11,2014,1.17%
12,2013,2.11%
13,2012,1.15%
14,2011,6.27%
15,2010,3.54%
16,2009,1.43%
17,2008,10.45%
18,2007,5.84%
19,2006,6.15%
20,2005,8.67%
21,2004,10.97%
22,2003,11.64%
23,2002,10.36%
24,2001,8.29%
25,2000,6.33%
26,1999,4.46%
27,1998,3.27%
28,1997,1.9%
29,1996,2.67%
30,1995,-0.48%
31,1994,3.92%
32,1993,1.81%
33,1992,8.6%
34,1991,13.92%
35,1990,5.63%
36,1989,3.97%
37,1988,10.33%
38,1987,7.7%
39,1986,29.87%
40,1985,5.2%
