,Quarter,Revenue in million U.S. dollars
0,Q1 '20,1952.0
1,Q4 '19,2062.0
2,Q3 '19,2011.0
3,Q2 '19,1977.0
4,Q1 '19,1744.0
5,Q4 '18,1495.91
6,Q3 '18,1467.38
7,Q2 '18,1432.3
8,Q1 '18,1375.1
9,Q4 '17,1403.9
10,Q3 '17,1379.6
11,Q2 '17,1347.57
12,Q1 '17,1294.07
13,Q4 '16,1303.0
14,Q3 '16,1277.65
15,Q2 '16,1235.57
16,Q1 '16,1201.01
17,Q4 '15,1196.15
18,Q3 '15,1169.71
19,Q2 '15,1123.21
20,Q1 '15,1080.99
21,Q4 '14,1090.95
22,Q3 '14,1057.09
23,Q2 '14,1035.35
24,Q1 '14,997.71
25,Q4 '13,1000.08
26,Q3 '13,961.51
27,Q2 '13,940.11
28,Q1 '13,897.4
29,Q4 '12,892.42
30,Q3 '12,867.36
31,Q2 '12,837.54
32,Q1 '12,804.72
33,Q4 '11,783.74
34,Q3 '11,762.55
35,Q2 '11,744.4
36,Q1 '11,723.84
