,Year,GDP per capita in U.S. dollars
0,2025*,1165.72
1,2024*,1069.2
2,2023*,974.43
3,2022*,928.12
4,2021*,917.88
5,2020*,974.09
6,2019*,960.77
7,2018*,852.01
8,2017*,829.31
9,2016,777.29
10,2015,702.77
11,2014,613.1
12,2013,535.26
13,2012,493.32
14,2011,379.38
15,2010,360.83
16,2009,397.81
17,2008,334.15
18,2007,249.21
19,2006,198.34
20,2005,165.22
21,2004,138.55
22,2003,120.87
23,2002,116.79
24,2001,125.72
25,2000,129.68
26,1999,128.21
27,1998,134.23
28,1997,152.17
29,1996,155.12
30,1995,152.66
31,1994,151.97
32,1993,176.47
33,1992,293.35
34,1991,287.65
35,1990,269.08
36,1989,262.23
37,1988,257.56
38,1987,256.7
39,1986,247.98
40,1985,246.51
