,Nation,Average player value in million euros
0,France,46.98
1,Spain,45.0
2,Brazil,41.39
3,Germany,38.48
4,England,38.0
5,Belgium,32.87
6,Argentina,30.78
7,Portugal,20.24
8,Uruguay,15.98
9,Croatia,15.41
10,Senegal,12.62
11,Denmark,11.39
12,Poland,11.28
13,Colombia,11.15
14,Serbia,10.5
15,Switzerland,9.46
16,Egypt,8.56
17,Russia,7.04
18,Mexico,6.31
19,Nigeria,5.78
20,Morocco,5.34
21,Sweden,5.17
22,South Korea,3.68
23,Iceland,3.32
24,Japan,3.19
25,Tunisia,2.53
26,Australia,2.15
27,Iran,1.87
28,Costa Rica,1.83
29,Peru,1.63
30,Saudi Arabia,0.81
31,Panama,0.4
