,Product (Company),Revenue in million U.S. dollars
0,Revlimid (Celgene),4417
1,Rituxan (Roche),3970
2,Avastin (Roche),3009
3,Opdivo (Bristol-Myers Squibb),2664
4,Herceptin (Roche),2547
5,Ibrance (Pfizer),2068
6,Imbruvica (AbbVie),1580
7,Xtandi (Astellas),1218
8,Gleevec (Novartis),1214
9,Alimta (Eli Lilly),1101
10,Zytiga (Johnson & Johnson),1089
11,Velcade (Takeda),1044
12,Sprycel (Bristol-Myers Squibb),969
13,Perjeta (Roche),919
14,Jakafi (Incyte),853
15,Yervoy (Bristol-Myers Squibb),802
16,Keytruda (Merck & Co.),792
17,Pomalyst (Celgene),778
18,Afinitor (Novartis),775
19,Tasigna (Novartis),722
20,Lupron (AbbVie),663
21,Treanda (Cephalon/Teva),661
22,Abraxane (Celegene),634
23,Erbitux (BMS/Imclone),581
24,Tarceva (Roche),568
