,Country,Cases per million population
0,Czechia,75527
1,USA,66660
2,Belgium,56703
3,Netherlands,49595
4,Sweden,47600
5,Spain,43300
6,UK,42447
7,France,41735
8,Brazil,37318
9,Argentina,37216
10,Italy,36752
11,Poland,35873
12,Romania,34374
13,Colombia,33956
14,Chile,32767
15,Peru,30915
16,Turkey,27073
17,Ukraine,25350
18,Russia,22990
19,Germany,22274
20,South Africa,19609
21,Canada,16752
22,Iran,15000
23,Iraq,14765
24,Mexico,11521
25,India,7508
26,Philippines,4385
27,Bangladesh,3141
28,Indonesia,2901
29,Pakistan,2230
