,Year,Gross domestic product in billion international dollars
0,2021*,161.73
1,2020*,163.61
2,2019*,175.23
3,2018*,176.68
4,2017*,176.53
5,2016,172.05
6,2015,164.58
7,2014,159.82
8,2013,149.92
9,2012,144.49
10,2011,170.82
11,2010,172.19
12,2009,163.89
13,2008,167.28
14,2007,158.01
15,2006,145.53
16,2005,132.59
17,2004,121.71
18,2003,112.73
19,2002,104.13
20,2001,96.76
21,2000,85.4
22,1999,77.07
23,1998,72.89
24,1997,66.59
25,1996,61.72
26,1995,57.47
27,1994,51.71
28,1993,48.91
29,1992,46.5
30,1991,43.07
31,1990,38.93
32,1989,38.18
33,1988,36.22
34,1987,33.52
35,1986,30.73
36,1985,27.4
37,1984,26.73
