,State,"Deaths per 1,000 live births"
0,Alaska,5.9
1,Alabama,7.0
2,Arkansas,7.5
3,Arizona,5.6
4,California,4.2
5,Colorado,4.7
6,Connecticut,4.2
7,Delaware,5.8
8,Florida,6.0
9,Georgia,7.0
10,Hawaii,6.8
11,Iowa,5.1
12,Idaho,5.1
13,Illinois,6.5
14,Indiana,6.8
15,Kansas,6.5
16,Kentucky,5.8
17,Louisiana,7.6
18,Massachusetts,4.2
19,Maryland,6.1
20,Maine,5.4
21,Michigan,6.2
22,Minnesota,5.1
23,Missouri,6.3
24,Mississippi,8.3
25,Montana,4.8
26,North Carolina,6.7
27,North Dakota,5.5
28,Nebraska,5.8
29,New Hampshire,3.6
30,New Jersey,3.9
31,Nevada,6.1
32,New Mexico,5.7
33,New York,4.3
34,Ohio,6.9
35,Oklahoma,7.1
36,Oregon,4.2
37,Pennsylvania,5.9
38,Rhode Island,5.0
39,South Carolina,7.2
40,South Dakota,5.9
41,Tennessee,6.9
42,Texas,5.5
43,Utah,5.5
44,Virginia,5.6
45,Vermont,6.4
46,Washington,4.7
47,Wisconsin,6.1
48,West Virginia,7.1
49,Wyoming,5.3
