,Month,Market share
0,Dec 19,10.09%
1,Nov 19,10.37%
2,Oct 19,11.69%
3,Sep 19,9.47%
4,Aug 19,11.63%
5,Jul 19,10.85%
6,Jun 19,9.87%
7,May 19,10.83%
8,Apr 19,11.22%
9,Mar 19,8.9%
10,Feb 19,12.68%
11,Jan 19,10.33%
12,Dec 18,11.45%
13,Nov 18,9.24%
14,Oct 18,10.95%
15,Sep 18,9.84%
16,Aug 18,11.91%
17,Jul 18,9.78%
18,Jun 18,9.51%
19,May 18,10.97%
20,Apr 18,11.98%
21,Mar 18,10.6%
22,Feb 18,14.91%
23,Jan 18,12.01%
24,Dec 17,10.19%
25,Nov 17,11.06%
26,Oct 17,12.38%
27,Sep 17,9.31%
28,Aug 17,12.08%
29,Jul 17,10.45%
30,Jun 17,11.13%
31,May 17,11.01%
32,Apr 17,10.64%
33,Mar 17,12.77%
34,Feb 17,11.92%
35,Jan 17,13.05%
36,Dec 16,11.65%
37,Nov 16,11.92%
38,Oct 16,11.88%
39,Sep 16,10.45%
40,Aug 16,14.33%
41,Jul 16,12.46%
