,Golf player,Average points
0,Dustin Johnson (USA),9.96
1,Jon Rahm (ESP),9.87
2,Justin Thomas (USA),8.34
3,Rory McIlroy (NIR),7.86
4,Collin Morikawa (USA),7.53
5,Webb Simpson (USA),7.03
6,Brooks Koepka (USA),6.14
7,Bryson DeChambeau (USA),6.02
8,Patrick Reed (USA),5.76
9,Adam Scott (AUS),5.42
10,Xander Schauffele (USA),5.39
11,Patrick Cantley (USA),5.22
12,Daniel Berger (USA),4.93
13,Tony Finau (USA),4.66
14,Tyrrell Hatton (ENG),4.63
15,Tommy Fleetwood (ENG),4.61
16,Matthew Fitzpatrick (ENG),4.36
17,Tiger Woods (USA),4.28
18,Justin Rose (ENG),4.23
19,Hideki Matsuyama (JPN),4.2
