,NBA player,Number of points scored
0,Kareem Abdul-Jabbar,38387
1,Karl Malone,36928
2,LeBron James*,34241
3,Kobe Bryant,33643
4,Michael Jordan,32292
5,Dirk Nowitzki,31560
6,Wilt Chamberlain,31419
7,Shaquille O'Neal,28596
8,Moses Malone,27409
9,Elvin Hayes,27313
10,Hakeem Olajuwon,26946
11,Oscar Robertson,26710
12,Dominique Wilkins,26668
13,Tim Duncan,26496
14,Carmelo Anthony*,26446
15,Paul Pierce,26397
16,John Havlicek,26395
17,Kevin Garnett,26071
18,Vince Carter,25728
19,Alex English,25613
20,Reggie Miller,25279
21,Jerry West,25192
22,Patrick Ewing,24815
23,Ray Allen,24505
24,Allen Iverson,24368
25,Charles Barkley,23757
26,Robert Parish,23334
27,Adrian Dantley,23177
28,Dwyane Wade,23165
29,Elgin Baylor,23149
30,Kevin Durant*,22940
