,State,Number of female licensed drivers
0,Alabama,2029595
1,Alaska,2881710
2,Arizona,2530056
3,Arkansas,1232765
4,California,12867492
5,Colorado,1980391
6,Connecticut,1319610
7,Delaware,388520
8,District of Columbia,248029
9,Florida,7468685
10,Georgia,3648033
11,Hawaii,450242
12,Idaho,577320
13,Illinois,4313854
14,Indiana,2316158
15,Iowa,1133800
16,Kansas,1025191
17,Kentucky,1538874
18,Louisiana,1762287
19,Maine,516658
20,Maryland,2160894
21,Massachusetts,2567612
22,Michigan,3610264
23,Minnesota,1680435
24,Mississippi,1061578
25,Missouri,2182669
26,Montana,392116
27,Nebraska,700131
28,Nevada,916085
29,New Hampshire,546505
30,New Jersey,3172123
31,New Mexico,763595
32,New York,6133215
33,North Carolina,3751499
34,North Dakota,267317
35,Ohio,4108628
36,Oklahoma,1343255
37,Oregon,1449578
38,Pennsylvania,4535552
39,Rhode Island,384997
40,South Carolina,1946969
41,South Dakota,308307
42,Tennessee,2513995
43,Texas,8055241
44,Utah,971882
45,Vermont,278378
46,Virginia,3065055
47,Washington,2727596
48,West Virginia,585149
49,Wisconsin,2108496
50,Wyoming,206313
