,Country,Share of population
0,France,11%
1,Spain,11%
2,Italy,10.2%
3,Netherlands,9.2%
4,Czechia,8.9%
5,Croatia,7.9%
6,Ireland,7.7%
7,United Kingdom,7.2%
8,Finland,6.8%
9,Denmark,6.4%
10,Austria,6.4%
11,Germany,6.1%
12,Estonia,6%
13,Norway,5.3%
14,Portugal,5.1%
15,Luxembourg,4.9%
16,Poland,4.6%
17,Belgium,4.6%
18,Sweden,4.6%
19,Slovenia,4.4%
20,Slovakia,4.3%
21,Bulgaria,4.2%
22,Latvia,4.2%
23,Romania,3.2%
24,Greece,2.8%
25,Lithuania,2.7%
26,Cyprus,2.2%
27,Hungary,1.5%
28,Turkey,1.1%
29,Malta,0.9%
