,Swedish Company,Number of employees
0,Beijer Alma AB,2610
1,GE Healthcare Bio-Sciences AB,1612
2,Fresenius Kabi AB,1035
3,Uppsala Stadshus AB,952
4,Upplands Motor Holding AB,779
5,Phadia AB,590
6,Relita Industri & Skadeservice AB,537
7,Gamla Uppsala Buss AB,490
8,Q-Med AB,441
9,Biotage AB,404
10,Stora Enso Pulp AB,394
11,Lars Svensson Holding AB,392
12,Erasteel Kloster AB,388
13,Bjerking AB,367
14,Sallén Förvaltning AB,346
15,Alma Assistans AB,308
16,Mellansvenska Städ AB,297
17,Ge-Te Media AB,255
18,GomSpace Group AB,321
19,A-Team AB,316
