,mobile internet platforms,Mobile visits in millions
0,ebay Kleinanzeigen,423.43
1,twitch.tv,366.2
2,WetterOnline,306.2
3,Bild.de mobil,273.21
4,kicker.de,141.36
5,upday,133.11
6,Wetter.com App,120.47
7,SPIEGEL ONLINE Mobil,110.54
8,Telekom Mail App,104.91
9,FOCUS Online mobil,94.77
10,T-Online MEW,92.51
11,WELT Mobil,86.09
12,n-tv,73.75
13,FUNKE MEDIEN NRW mobil,71.82
14,SPIEGEL ONLINE,69.43
15,ebay Kleinanzeigen mobil,64.48
16,Merkur.de mobile,62.29
17,mobile.de,50.59
18,AUTOSCOUT24,49.74
19,tz Online mobile,49.08
