,Year,MERVAL in Argentine pesos
0,10/15/2020,48239.27
1,10/14/2020,47295.27
2,10/13/2020,45994.73
3,10/9/2020,45856.11
4,10/8/2020,45482.18
5,10/7/2020,44739.86
6,10/6/2020,44438.41
7,10/5/2020,44273.21
8,10/2/2020,43654.37
9,10/1/2020,42916.19
10,9/30/2020,41260.86
11,9/29/2020,42196.88
12,9/28/2020,42077.91
13,9/25/2020,42042.45
14,9/24/2020,41875.66
15,9/23/2020,40974.05
16,9/22/2020,40944.49
17,9/21/2020,40745.13
18,9/18/2020,41484.06
19,9/17/2020,39799.89
20,9/16/2020,42167.86
21,9/15/2020,44628.42
22,9/14/2020,44614.08
23,9/11/2020,45839.99
24,9/10/2020,46868.47
25,9/9/2020,46520.19
26,9/8/2020,45481.76
27,9/7/2020,45691.04
28,9/4/2020,45075.06
29,9/3/2020,44800.06
30,9/2/2020,44877.5
31,9/1/2020,46545.52
32,8/31/2020,46835.42
33,8/28/2020,46396.58
34,8/27/2020,44254.91
35,8/26/2020,45831.7
36,8/25/2020,46579.29
37,8/24/2020,46736.74
38,8/21/2020,47411.28
39,8/20/2020,47737.16
40,8/19/2020,47471.6
41,8/18/2020,46491.42
42,8/14/2020,48547.91
43,8/13/2020,49626.79
44,8/12/2020,48970.53
45,8/11/2020,50998.5
46,8/10/2020,52180.9
47,8/7/2020,52325.83
48,8/6/2020,51083.76
49,8/5/2020,50994.43
50,8/4/2020,52186.3
51,8/3/2020,52504.21
52,7/31/2020,49253.62
53,7/30/2020,49405.75
54,7/29/2020,48884.46
55,7/28/2020,48934.44
56,7/27/2020,49449.86
57,7/24/2020,48605.06
58,7/23/2020,48408.27
59,7/22/2020,48634.09
60,7/21/2020,46781.26
61,7/20/2020,45682.99
62,7/17/2020,45475.24
63,7/16/2020,45245.23
64,7/15/2020,45120.59
65,7/14/2020,44001.9
66,7/13/2020,43237.01
67,7/8/2020,42747.55
68,7/7/2020,42497.6
69,7/6/2020,43339.69
70,7/3/2020,39758.2
71,7/2/2020,39500.85
72,7/1/2020,39846.74
73,6/30/2020,38686.69
74,6/29/2020,40308.11
75,6/26/2020,40589.89
76,6/25/2020,41996.65
77,6/24/2020,40435.34
78,6/23/2020,40803.56
79,6/22/2020,40344.32
80,6/19/2020,40951.45
81,6/18/2020,37990.59
82,6/17/2020,40471.15
83,6/16/2020,42686.08
84,6/12/2020,43417.15
85,6/11/2020,43057.94
86,6/10/2020,46476.07
87,6/9/2020,46471.06
88,6/8/2020,48881.18
89,6/5/2020,45128.75
90,6/4/2020,43676.18
91,6/3/2020,43853.06
92,6/2/2020,42037.56
93,6/1/2020,40016.98
94,5/29/2020,37824.73
95,5/28/2020,38985.82
96,5/27/2020,40431.57
97,5/26/2020,41060.27
98,5/22/2020,40962.74
99,5/21/2020,41388.5
100,5/20/2020,39809.16
101,5/19/2020,39388.72
102,5/18/2020,40286.72
103,5/15/2020,39388.33
104,5/14/2020,39225.67
105,5/13/2020,37842.81
106,5/12/2020,39133.71
107,5/11/2020,38581.6
108,5/8/2020,36183.9
109,5/7/2020,35850.21
110,5/6/2020,34158.89
111,5/5/2020,33546.52
112,5/4/2020,32387.28
113,4/30/2020,32742.84
114,4/29/2020,33185.05
115,4/28/2020,33064.84
116,4/27/2020,29986.23
117,4/24/2020,29258.1
118,4/23/2020,30378.94
119,4/22/2020,30554.88
120,4/21/2020,30237.08
121,4/20/2020,30535.73
122,4/17/2020,29883.27
123,4/16/2020,30077.72
124,4/15/2020,32070.67
125,4/14/2020,30781.55
126,4/13/2020,28880.64
127,4/8/2020,28017.59
128,4/7/2020,26696.1
129,4/6/2020,26922.59
130,4/3/2020,26505.41
131,4/2/2020,26003.28
132,4/1/2020,25324.28
133,3/30/2020,24384.24
134,3/27/2020,24058.6
135,3/26/2020,25483.94
136,3/25/2020,26338.03
137,3/20/2020,23890.35
138,3/19/2020,22656.43
139,3/18/2020,22087.13
140,3/17/2020,25823.47
141,3/16/2020,25697.51
142,3/13/2020,28447.97
143,3/12/2020,28351.89
144,3/11/2020,31419.6
145,3/10/2020,32832.26
146,3/9/2020,30379.9
147,3/6/2020,35222.43
148,3/5/2020,36772.2
149,3/4/2020,37243.36
150,3/3/2020,35999.22
151,3/2/2020,36253.25
152,2/28/2020,34973.18
153,2/27/2020,35387.05
154,2/26/2020,36422.24
155,2/21/2020,38602.48
156,2/20/2020,38961.41
157,2/19/2020,38390.84
158,2/18/2020,38156.95
159,2/17/2020,39200.25
160,2/14/2020,38647.68
161,2/13/2020,38669.46
162,2/12/2020,39936.15
163,2/11/2020,39824.5
164,2/10/2020,41052.95
165,2/7/2020,41213.89
166,2/6/2020,40906.09
167,2/5/2020,40767.1
168,2/4/2020,41033.79
169,2/3/2020,41577.06
170,1/31/2020,40105.04
171,1/30/2020,40394.95
172,1/29/2020,40341.42
173,1/28/2020,40829.7
174,1/27/2020,39604.57
175,1/24/2020,39917.82
176,1/23/2020,41140.21
177,1/22/2020,42002.34
178,1/21/2020,41485.86
179,1/20/2020,43054.01
180,1/17/2020,42339.82
181,1/16/2020,42362.34
182,1/15/2020,41246.19
183,1/14/2020,41633.73
184,1/13/2020,42017.78
185,1/10/2020,42740.38
186,1/9/2020,42035.7
187,1/8/2020,41016.02
188,1/7/2020,41115.71
189,1/6/2020,41469.66
190,1/3/2020,40499.15
191,1/2/2020,41106.97
