,Industry,Real value added in billion chained (2012) U.S. dollars
0,"Finance, insurance, real estate, rental, and leasing",23.79
1,Government and government enterprises,13.69
2,Manufacturing,12.05
3,Professional and business services,11.26
4,"Educational services, health care, and social assistance",9.74
5,"Agriculture, forestry, fishing, and hunting",9.53
6,Transportation and warehousing,8.66
7,Wholesale trade,7.05
8,Retail trade,6.37
9,Information,4.33
10,"Arts, entertainment, recreation, accommodation, and food services",2.9
11,Utilities,2.67
12,Construction,2.65
13,"Mining, quarrying, and oil and gas extraction",0.21
