,Month,Number of minutes
0,Mar 2018,64
1,Jan 2018,57
2,Nov 2017,60
3,Sep 2017,58
4,Jul 2017,60
5,May 2017,59
6,Mar 2017,58
7,Jan 2017,57
8,Nov 2016,59
9,Sep 2016,59
10,Jul 2016,62
11,May 2016,62
12,Mar 2016,69
13,Jan 2016,58
14,Nov 2015,58
15,Sep 2015,55
16,Jul 2015,53
17,May 2015,53
18,Mar 2015,56
19,Jan 2015,46
20,Nov 2014,54
21,Sep 2014,55
22,Jul 2014,56
23,May 2014,56
24,Mar 2014,56
25,Jan 2014,47
26,Nov 2013,50
27,Sep 2013,50
28,Jul 2013,53
29,May 2013,51
30,Mar 2013,57
31,Jan 2013,50
32,Nov 2012,53
33,Sep 2012,53
34,Jul 2012,54
35,May 2012,53
36,Mar 2012,55
37,Jan 2012,49
38,Nov 2011,51
39,Sep 2011,53
40,Jul 2011,53
41,May 2011,57
