,Year,GDP in billion euros
0,2018,774.04
1,2017,738.15
2,2016,708.34
3,2015,690.01
4,2014,671.56
5,2013,660.46
6,2012,652.97
7,2011,650.36
8,2010,639.19
9,2009,624.84
10,2008,647.2
11,2007,619.17
12,2006,584.55
13,2005,550.88
14,2004,529.29
15,2003,512.81
16,2002,501.14
17,2001,481.88
18,2000,452.01
19,1999,419.46
20,1998,394.3
21,1997,369.05
22,1996,344.63
23,1995,329.55
24,1994,313.12
25,1993,297.97
26,1992,289.64
27,1991,277.85
28,1990,263.04
29,1989,248.6
30,1988,234.91
31,1987,225.25
32,1986,223.32
33,1985,216.8
34,1984,209.54
35,1983,198.73
36,1982,192.03
37,1981,185.85
38,1980,176.07
39,1979,163.55
40,1978,153.02
41,1977,141.46
42,1976,130.98
43,1975,115.05
44,1974,106.43
45,1973,91.14
46,1972,79.67
47,1971,71.15
48,1970,62.69
49,1969,55.91
50,1968,45.7
51,1967,41.21
52,1966,37.56
53,1965,34.5
54,1964,30.72
55,1963,26.1
56,1962,24.06
57,1961,22.35
58,1960,21.17
