,type of expenditure,Average expenditure in Canadian dollars
0,Shelter,20806
1,Income taxes,15417
2,Transportation,13104
3,Food expenditures,8713
4,Personal insurance payments and pension contributions,5075
5,Household operations,4924
6,Recreation,3950
7,Clothing and accessories,3721
8,"Gifts of money, support payments and charitable contributions",2966
9,Household furnishings and equipment,2553
10,Education,2232
11,Health care,2174
12,Miscellaneous expenditures,1773
13,Personal care,1362
14,Tobacco products and alcoholic beverages,1223
15,Reading materials and other printed matter,163
16,Games of chance,158
