,Quarter,"Number of jobs (in 1,000s)"
0,Q3 2020,34685
1,Q2 2020,35160
2,Q1 2020,35620
3,Q4 2019,35658
4,Q3 2019,35627
5,Q2 2019,35557
6,Q1 2019,35452
7,Q4 2018,35233
8,Q3 2018,35075
9,Q2 2018,34980
10,Q1 2018,34955
11,Q4 2017,34865
12,Q3 2017,34956
13,Q2 2017,34862
14,Q1 2017,34860
15,Q4 2016,34656
16,Q3 2016,34591
17,Q2 2016,34568
18,Q1 2016,34385
19,Q4 2015,34144
20,Q3 2015,34081
21,Q2 2015,33897
22,Q1 2015,33821
23,Q4 2014,33678
24,Q3 2014,33573
25,Q2 2014,33444
26,Q1 2014,33152
27,Q4 2013,32823
28,Q3 2013,32461
29,Q2 2013,32235
30,Q1 2013,32195
31,Q4 2012,31978
32,Q3 2012,32028
33,Q2 2012,32091
34,Q1 2012,32167
35,Q4 2011,31794
36,Q3 2011,31775
37,Q2 2011,31559
38,Q1 2011,31652
39,Q4 2010,31553
40,Q3 2010,31505
41,Q2 2010,31561
42,Q1 2010,31496
43,Q4 2009,31465
44,Q3 2009,31606
45,Q2 2009,31730
46,Q1 2009,31924
47,Q4 2008,32118
48,Q3 2008,32314
49,Q2 2008,32347
50,Q1 2008,32293
51,Q4 2007,32248
52,Q3 2007,32219
53,Q2 2007,32087
54,Q1 2007,32007
55,Q4 2006,32064
56,Q3 2006,31950
57,Q2 2006,31810
58,Q1 2006,31709
59,Q4 2005,31628
60,Q3 2005,31542
61,Q2 2005,31404
62,Q1 2005,31357
63,Q4 2004,31212
64,Q3 2004,31063
65,Q2 2004,31032
66,Q1 2004,30980
67,Q4 2003,30893
68,Q3 2003,30876
69,Q2 2003,30709
70,Q1 2003,30538
71,Q4 2002,30482
72,Q3 2002,30505
73,Q2 2002,30420
74,Q1 2002,30319
75,Q4 2001,30319
76,Q3 2001,30315
77,Q2 2001,30142
78,Q1 2001,30025
79,Q4 2000,30009
80,Q3 2000,29961
81,Q2 2000,29779
82,Q1 2000,29640
83,Q4 1999,29714
84,Q3 1999,29578
85,Q2 1999,29328
86,Q1 1999,29243
87,Q4 1998,29210
88,Q3 1998,29049
89,Q2 1998,28951
90,Q1 1998,29044
91,Q4 1997,29018
92,Q3 1997,28906
93,Q2 1997,28760
94,Q1 1997,28500
95,Q4 1996,28495
96,Q3 1996,28406
97,Q2 1996,28243
98,Q1 1996,28098
99,Q4 1995,28195
100,Q3 1995,28048
101,Q2 1995,28044
102,Q1 1995,27928
103,Q4 1994,27947
104,Q3 1994,27873
105,Q2 1994,27675
106,Q1 1994,27628
107,Q4 1993,27651
108,Q3 1993,27579
109,Q2 1993,27517
110,Q1 1993,27530
111,Q4 1992,27415
112,Q3 1992,27555
113,Q2 1992,27963
114,Q1 1992,28116
115,Q4 1991,28126
116,Q3 1991,28277
117,Q2 1991,28444
118,Q1 1991,28734
119,Q4 1990,29043
120,Q3 1990,29264
121,Q2 1990,29370
122,Q1 1990,29283
123,Q4 1989,29264
124,Q3 1989,29160
125,Q2 1989,29049
126,Q1 1989,28948
127,Q4 1988,28642
128,Q3 1988,28441
129,Q2 1988,28161
130,Q1 1988,27949
131,Q4 1987,27733
132,Q3 1987,27476
133,Q2 1987,27188
134,Q1 1987,26879
135,Q4 1986,26817
136,Q3 1986,26763
137,Q2 1986,26654
138,Q1 1986,26614
139,Q4 1985,26654
140,Q3 1985,26678
141,Q2 1985,26607
142,Q1 1985,26558
143,Q4 1984,26507
144,Q3 1984,26417
145,Q2 1984,26293
146,Q1 1984,26173
147,Q4 1983,26044
148,Q3 1983,25881
149,Q2 1983,25589
150,Q1 1983,25522
151,Q4 1982,25588
152,Q3 1982,25790
153,Q2 1982,25895
154,Q1 1982,25990
155,Q4 1981,26047
156,Q3 1981,26251
157,Q2 1981,26348
158,Q1 1981,26551
159,Q4 1980,26813
160,Q3 1980,27108
161,Q2 1980,27369
162,Q1 1980,27465
163,Q4 1979,27542
164,Q3 1979,27493
165,Q2 1979,27413
166,Q1 1979,27303
167,Q4 1978,27274
168,Q3 1978,27092
169,Q2 1978,26988
170,Q1 1978,26943
171,Q4 1977,26872
172,Q3 1977,26846
173,Q2 1977,26823
174,Q1 1977,26823
175,Q4 1976,26816
176,Q3 1976,26775
177,Q2 1976,26784
178,Q1 1976,26804
179,Q4 1975,26881
180,Q3 1975,26954
181,Q2 1975,27023
182,Q1 1975,27066
183,Q4 1974,27154
184,Q3 1974,27211
185,Q2 1974,27113
186,Q1 1974,27055
187,Q4 1973,27083
188,Q3 1973,27055
189,Q2 1973,27023
190,Q1 1973,27035
191,Q4 1972,26688
192,Q3 1972,26514
193,Q2 1972,26396
194,Q1 1972,26402
195,Q4 1971,26205
196,Q3 1971,26219
197,Q2 1971,26408
198,Q1 1971,26427
199,Q4 1970,26631
200,Q3 1970,26693
201,Q2 1970,26747
202,Q1 1970,26844
203,Q4 1969,26812
204,Q3 1969,26841
205,Q2 1969,26843
206,Q1 1969,26836
207,Q4 1968,26844
208,Q3 1968,26834
209,Q2 1968,26808
210,Q1 1968,26830
211,Q4 1967,26874
212,Q3 1967,26997
213,Q2 1967,26958
214,Q1 1967,26933
215,Q4 1966,27084
216,Q3 1966,27331
217,Q2 1966,27324
218,Q1 1966,27332
219,Q4 1965,27285
220,Q3 1965,27165
221,Q2 1965,27146
222,Q1 1965,27117
223,Q4 1964,27061
224,Q3 1964,26984
225,Q2 1964,26861
226,Q1 1964,26759
227,Q4 1963,26708
228,Q3 1963,26565
229,Q2 1963,26542
230,Q1 1963,26328
231,Q4 1962,26415
232,Q3 1962,26485
233,Q2 1962,26506
234,Q1 1962,26450
235,Q4 1961,26301
236,Q3 1961,26374
237,Q2 1961,26312
238,Q1 1961,26345
239,Q4 1960,26246
240,Q3 1960,26060
241,Q2 1960,26015
242,Q1 1960,25905
243,Q4 1959,25751
244,Q3 1959,25660
245,Q2 1959,25555
