,Year,Total wage and salary workers in millions
0,2019,82.29
1,2018,81.92
2,2017,80.44
3,2016,79.88
4,2015,78.23
5,2014,77.21
6,2013,75.95
7,2012,75.28
8,2011,73.93
9,2010,72.9
10,2009,72.61
11,2008,75.31
12,2007,75.87
13,2006,76.51
14,2005,75.61
15,2004,73.94
16,2003,72.95
17,2002,72.51
18,2001,73.39
19,2000,73.5
20,1999,72.31
21,1998,71.44
22,1997,70.74
23,1996,69.26
24,1995,68.35
25,1994,66.55
26,1993,64.27
27,1992,63.61
28,1991,62.63
29,1990,63.17
30,1989,62.39
31,1988,60.88
32,1987,59.55
33,1986,57.53
34,1985,55.76
35,1984,54.14
36,1983,51.82
37,1982,50.85
38,1981,51.87
39,1980,51.34
40,1979,51.72
