,region of Italy,Magnitude
0,Albi (Cosenza) - January 16,3.8
1,Carpino (Foggia) - January 21,3.6
2,North-west coast in Calabria (Cosenza) - January 23,3.8
3,Castiglione Cosentino (Cosenza) - February 24,4.3
4,Aeolian Islands (Messina) - February 27,3.7
5,South tyrrhenian sea - March 1,3.9
6,Troina (Enna) - March 2,3.6
7,Ionian coast (Crotone) - March 4,4.0
8,South tyrrhenian sea - March 15,4.4
9,"South-west coast in Calabra (Catanzaro, Vibo Valentina, Reggio di Calabria) - March 17",3.9
10,Cerignale (Piacenza) - April 16,4.0
11,Poggio Imperiale (Foggia) - April 18,3.7
12,Redavalle (Pavia) - April 19,3.7
