,Month,Interest rate
0,Jan 20,4.56%
1,Dec 19,4.61%
2,Nov 19,4.59%
3,Oct 19,4.61%
4,Sep 19,4.61%
5,Aug 19,4.63%
6,Jul 19,4.66%
7,Jun 19,4.74%
8,May 19,4.72%
9,Apr 19,4.77%
10,Mar 19,4.77%
11,Feb 19,4.78%
12,Jan 19,4.77%
13,Dec 18,4.96%
14,Nov 18,4.93%
15,Oct 18,4.93%
16,Sep 18,4.79%
17,Aug 18,4.8%
18,Jul 18,4.83%
19,Jun 18,4.82%
20,May 18,4.64%
21,Apr 18,4.59%
22,Mar 18,4.52%
23,Feb 18,4.53%
24,Jan 18,4.51%
25,Dec 17,4.43%
26,Nov 17,4.29%
27,Oct 17,4.3%
28,Sep 17,4.29%
29,Aug 17,4.25%
30,Jul 17,4.51%
31,Jun 17,4.44%
32,May 17,4.38%
33,Apr 17,4.35%
34,Mar 17,4.38%
35,Feb 17,4.36%
36,Jan 17,4.35%
37,Dec 16,4.32%
38,Nov 16,4.27%
39,Oct 16,4.26%
40,Sep 16,4.23%
41,Aug 16,4.18%
42,Jul 16,4.17%
43,Jun 16,4.17%
44,May 16,4.25%
45,Apr 16,4.28%
46,Mar 16,4.33%
47,Feb 16,4.29%
48,Jan 16,4.33%
49,Dec 15,4.4%
50,Nov 15,4.33%
51,Oct 15,4.3%
52,Sep 15,4.32%
53,Aug 15,4.38%
54,Jul 15,4.37%
55,Jun 15,4.39%
56,May 15,4.37%
57,Apr 15,4.37%
58,Mar 15,4.31%
59,Feb 15,4.07%
60,Jan 15,4.07%
61,Dec 14,4.12%
62,Nov 14,4.06%
63,Oct 14,4.04%
64,Sep 14,4.02%
65,Aug 14,4.03%
66,Jul 14,4.03%
67,Jun 14,4.13%
68,May 14,4.13%
69,Apr 14,4.18%
70,Mar 14,4.23%
71,Feb 14,4.21%
72,Jan 14,4.25%
