,Year,Gross domestic product in billion U.S. dollars
0,2025*,1.68$
1,2024*,1.59$
2,2023*,1.5$
3,2022*,1.41$
4,2021*,1.32$
5,2020*,1.2$
6,2019*,1.19$
7,2018,1.18$
8,2017,1.08$
9,2016,1.01$
10,2015,0.97$
11,2014,1.15$
12,2013,1.12$
13,2012,1.02$
14,2011,1.02$
15,2010,0.91$
16,2009,0.9$
17,2008,0.92$
18,2007,0.8$
19,2006,0.69$
20,2005,0.66$
21,2004,0.62$
22,2003,0.55$
23,2002,0.43$
24,2001,0.37$
25,2000,0.34$
26,1999,0.37$
27,1998,0.36$
28,1997,0.36$
29,1996,0.39$
30,1995,0.39$
31,1994,0.31$
32,1993,0.43$
33,1992,0.44$
34,1991,0.4$
35,1990,0.4$
36,1989,0.33$
37,1988,0.34$
38,1987,0.31$
39,1986,0.26$
40,1985,0.19$
