,Us City / Area,Consumer Price Index (100=1982-1984)
0,"San Diego-Carlsbad, CA",299.43
1,"San Francisco-Oakland-Hayward, CA",295.0
2,Urban Hawaii,281.59
3,"Boston-Cambridge-Newton, MA-NH",281.08
4,"New York-Newark-Jersey City, NY-NJ-PA",278.16
5,"Seattle-Tacoma-Bellevue, WA",277.98
6,"Los Angeles-Long Beach-Anaheim, CA",274.11
7,"Miami-Fort Lauderdale-West Palm Beach, FL",269.78
8,"Denver-Aurora-Lakewood, CO",267.0
9,"Washington-Arlington-Alexandria, DC-VA-MD-WV",264.78
10,"Baltimore-Columbia-Towson, MD",256.89
11,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",256.62
12,U.S. City Average,255.66
13,"Minneapolis-St.Paul-Bloomington, MN-WI",250.11
14,"Atlanta-Sandy Springs-Roswell, GA",243.73
15,"Chicago-Naperville-Elgin, IL-IN-WI",241.18
16,"Dallas-Fort Worth-Arlington, TX",237.73
17,"Detroit-Warren-Dearborn, MI",235.27
18,"St. Louis, MO-IL",231.19
19,"Houston-The Woodlands-Sugar Land, TX",228.8
20,Urban Alaska,228.68
21,"Tampa-St. Petersburg-Clearwater, FL",228.13
