,State,Expenditure in U.S. dollars
0,Texas,18546804
1,California,17880625
2,Florida,15181486
3,Ohio,9459429
4,North Carolina,8367343
5,Georgia,7345472
6,New York,6892834
7,Virginia,6829758
8,Pennsylvania,6107650
9,Illinois,5110463
10,Tennessee,5024969
11,Washington,4896346
12,Arizona,4694176
13,Michigan,4534486
14,South Carolina,4405950
15,District of Columbia,4301017
16,Missouri,4188436
17,Alabama,3990745
18,Colorado,3821243
19,Oklahoma,3744288
20,Maryland,3417492
21,Indiana,3294413
22,Oregon,3180476
23,Wisconsin,3175393
24,Massachusetts,3077073
25,Minnesota,3048351
26,Louisiana,2988018
27,Kentucky,2873868
28,Arkansas,2514572
29,New Jersey,2470315
30,Nevada,2431891
31,West Virginia,2197413
32,Mississippi,2046100
33,New Mexico,1751262
34,Kansas,1666762
35,Iowa,1624540
36,Connecticut,1450274
37,Nebraska,1356201
38,Utah,1340823
39,Idaho,1176243
40,Maine,1170204
41,Hawaii,1123321
42,New Hampshire,885836
43,Montana,884156
44,Alaska,823090
45,South Dakota,743077
46,Rhode Island,627131
47,Delaware,535395
48,Wyoming,504899
49,North Dakota,472047
50,Vermont,363180
