,State,Number of liver transplants
0,Alabama,133
1,Arizona,332
2,Arkansas,43
3,California,969
4,Colorado,163
5,Connecticut,53
6,Delaware,6
7,District of Columbia,124
8,Florida,647
9,Georgia,289
10,Hawaii,13
11,Illinois,323
12,Indiana,156
13,Iowa,32
14,Kansas,80
15,Kentucky,67
16,Louisiana,240
17,Maryland,214
18,Massachusetts,278
19,Michigan,240
20,Minnesota,200
21,Mississippi,51
22,Missouri,196
23,Nebraska,100
24,New Jersey,56
25,New Mexico,0
26,New York,498
27,North Carolina,262
28,Ohio,486
29,Oklahoma,57
30,Oregon,76
31,Pennsylvania,627
32,South Carolina,83
33,South Dakota,12
34,Tennessee,252
35,Texas,874
36,Utah,106
37,Virginia,197
38,Washington,160
39,Wisconsin,159
