,State,Number of larceny thefts
0,California,626802
1,Texas,501813
2,Florida,358402
3,New York,226851
4,Georgia,188967
5,Illinois,180776
6,Ohio,177725
7,North Carolina,174728
8,Washington,145282
9,Pennsylvania,143921
10,Tennessee,132104
11,Arizona,130788
12,Virginia,116044
13,Missouri,114460
14,Michigan,111980
15,Louisiana,109359
16,South Carolina,108953
17,Colorado,107012
18,Indiana,97176
19,Alabama,92477
20,New Jersey,91902
21,Minnesota,90092
22,Maryland,89780
23,Oregon,85261
24,Oklahoma,72632
25,Wisconsin,65620
26,Massachusetts,62844
27,Arkansas,60735
28,Kentucky,59130
29,Utah,53937
30,Kansas,50165
31,Mississippi,46300
32,Nevada,44755
33,New Mexico,41702
34,Connecticut,38457
35,Iowa,37847
36,Nebraska,29719
37,Hawaii,29634
38,District of Columbia,26645
39,West Virginia,20066
40,Montana,18176
41,Delaware,17359
42,Idaho,16295
43,Alaska,15114
44,New Hampshire,13832
45,Maine,13667
46,Rhode Island,12580
47,South Dakota,11265
48,North Dakota,10666
49,Vermont,7315
50,Wyoming,6984
