,Year,Inflation rate compared to previous year
0,2025*,7.37%
1,2024*,7.71%
2,2023*,7.67%
3,2022*,7.89%
4,2021*,6.18%
5,2020*,5.68%
6,2019,13.88%
7,2018,20.85%
8,2017,23.53%
9,2016,10.21%
10,2015,10.99%
11,2014,10.1%
12,2013,6.91%
13,2012,8.65%
14,2011,11.09%
15,2010,11.69%
16,2009,16.24%
17,2008,11.7%
18,2007,10.96%
19,2006,4.2%
20,2005,8.83%
21,2004,8.11%
22,2003,3.21%
23,2002,2.43%
24,2001,2.43%
25,2000,2.85%
26,1999,3.75%
27,1998,5.04%
28,1997,6.17%
29,1996,7.1%
30,1995,9.36%
31,1994,9.05%
32,1993,11.04%
33,1992,21.14%
34,1991,14.74%
35,1990,21.22%
36,1989,20.13%
37,1988,15.19%
38,1987,25.19%
39,1986,23.9%
40,1985,12.11%
