,Year,Inflation rate compared to previous year
0,2025*,5.5%
1,2024*,5.5%
2,2023*,5.5%
3,2022*,5.5%
4,2021*,5.64%
5,2020*,3.63%
6,2019,2.79%
7,2018,3.91%
8,2017,15.11%
9,2016,19.85%
10,2015,3.55%
11,2014,2.56%
12,2013,4.26%
13,2012,2.6%
14,2011,11.17%
15,2010,12.43%
16,2009,3.79%
17,2008,14.5%
18,2007,8.16%
19,2006,13.25%
20,2005,6.43%
21,2004,12.63%
22,2003,13.46%
23,2002,16.77%
24,2001,9.06%
25,2000,12.71%
26,1999,2.87%
27,1998,1.49%
28,1997,7.36%
29,1996,48.49%
30,1995,47.67%
31,1994,63.12%
32,1993,42.26%
33,1992,45.08%
34,1991,33.26%
35,1990,43.72%
36,1989,42.08%
37,1988,58.51%
38,1987,164.12%
39,1986,40.49%
40,1985,30.79%
