,Quarter,Consumer credit debt in trillion U.S. dollars
0,Q3 '19,4.15
1,Q2 '19,4.09
2,Q1 '19,4.05
3,Q4 '18,4.01
4,Q3 '18,3.96
5,Q2 '18,3.89
6,Q1 '18,3.86
7,Q4 '17,3.83
8,Q3 '17,3.74
9,Q2 '17,3.69
10,Q1 '17,3.65
11,Q3 '16,3.59
12,Q2 '16,3.53
13,Q1 '16,3.47
14,Q4 '15,3.42
15,Q3 '15,3.5
16,Q2 '15,3.44
17,Q1 '15,3.37
18,Q4 '14,3.32
19,Q3 '14,3.26
20,Q2 '14,3.21
21,Q1 '14,3.15
22,Q4 '13,3.1
23,Q3 '13,3.05
24,Q2 '13,3.0
25,Q1 '13,2.97
26,Q4 '12,2.92
27,Q3 '12,2.87
28,Q2 '12,2.84
29,Q1 '12,2.79
30,Q4 '11,2.76
31,Q3 '11,2.72
32,Q2 '11,2.69
33,Q1 '11,2.67
