,American football team,Fan Cost Index in U.S. dollars
0,Los Angeles Chargers,820.56
1,Chicago Bears,647.52
2,New England Patriots,645.14
3,Green Bay Packers,631.62
4,Los Angeles Rams**,628.87
5,Philadelphia Eagles,627.84
6,Dallas Cowboys,616.06
7,San Francisco 49ers,606.44
8,New York Giants,577.16
9,Houston Texas,575.91
10,Washington Football Team,575.54
11,Seattle Seahawks,573.26
12,Pittsburgh Steelers,550.3
13,Minnesota Vikings,546.3
14,NFL Average,540.52
15,Denver Broncos,533.43
16,New Orleans Saints,527.36
17,New York Jets,526.57
18,Baltimore Ravens,519.74
19,Atlanta Falcons,507.4
20,Indianapolis Colts,502.72
21,Detroit Lions,493.53
22,Carolina Panthers,492.93
23,Oakland Raiders,492.1
24,Kansas City Chiefs,476.58
25,Tennessee Titans,469.17
26,Miami Dolphins,469.02
27,Tampa Bay Buccaneers,460.4
28,Jacksonville Jaguars,453.76
29,Arizona Cardinals,445.3
30,Buffalo Bills,435.32
31,Cleveland Browns,418.62
32,Cincinatti Bengals,403.2
