,Year,Gross domestic product in billion international dollars
0,2021*,510.84
1,2020*,475.96
2,2019,495.18
3,2018,481.28
4,2017,452.03
5,2016,438.53
6,2015,426.72
7,2014,412.75
8,2013,398.16
9,2012,376.07
10,2011,350.37
11,2010,323.39
12,2009,302.04
13,2008,304.58
14,2007,288.54
15,2006,267.83
16,2005,244.51
17,2004,224.2
18,2003,203.67
19,2002,192.12
20,2001,183.45
21,2000,173.78
22,1999,161.35
23,1998,159.8
24,1997,151.41
25,1996,138.57
26,1995,127.34
27,1994,114.59
28,1993,106.79
29,1992,97.74
30,1991,85.99
31,1990,77.22
32,1989,71.8
33,1988,62.47
34,1987,56.24
35,1986,51.49
36,1985,47.8
37,1984,45.44
