,Year,Number of cases per million population
0,1980,65.3
1,1981,83.1
2,1982,101.3
3,1983,123.1
4,1984,148.9
5,1985,178.6
6,1986,217.0
7,1987,259.7
8,1988,329.6
9,1989,407.0
10,1990,461.7
11,1991,515.8
12,1992,581.2
13,1993,637.7
14,1994,704.2
15,1995,847.6
16,1996,1004.3
17,1997,1132.0
18,1998,1244.1
19,1999,1333.8
20,2000,1410.6
21,2001,1474.2
22,2002,1526.8
23,2003,1571.3
24,2004,1610.2
25,2005,1647.3
26,2006,1686.8
27,2007,1721.5
28,2008,1756.4
29,2009,1794.1
30,2010,1829.0
31,2011,1855.1
32,2012,1844.1
33,2013,1916.7
34,2014,1948.2
35,2015,1979.1
36,2016,1998.3
