,Month,Units sold
0,Dec '19,323
1,Nov '19,257
2,Oct '19,311
3,Sep '19,889
4,Aug '19,407
5,Jul '19,759
6,Jun '19,730
7,May '19,788
8,Apr '19,704
9,Mar '19,1481
10,Feb '19,198
11,Jan '19,232
12,Dec ´18,289
13,Nov ´18,268
14,Oct ´18,324
15,Sep ´18,768
16,Aug ´18,398
17,Jul ´18,749
18,Jun ´18,872
19,May ´18,698
20,Apr ´18,621
21,Mar ´18,1659
22,Feb ´18,164
23,Jan ´18,214
24,Dec ´17,266
25,Nov ´17,300
26,Oct ´17,294
27,Sep ´17,822
28,Aug ´17,375
29,Jul ´17,583
30,Jun ´17,702
31,May ´17,688
32,Apr ´17,767
33,Mar ´17,1156
34,Feb ´17,231
35,Jan ´17,224
36,Dec ´16,519
37,Nov ´16,292
38,Oct `16,307
39,Sep ´16,1123
40,Aug ´16,460
41,Jul ´16,619
42,Jun ´16,738
43,May ´16,692
44,Apr ´16,753
45,Mar ´16,1161
46,Feb ´16,205
47,Jan ´16,240
