,Country,Expenditure in U.S. dollars
0,Luxembourg,27955
1,United States,26550
2,United Kingdom,18405
3,Canada,16907
4,Norway,14050
5,Austria,13596
6,Netherlands,12517
7,New Zealand,11910
8,Belgium,11848
9,France,11031
10,Australia,10791
11,Finland,10314
12,Germany,9863
13,Hungary,9541
14,Chile,9271
15,Estonia,9237
16,Ireland,9102
17,Slovak Republic,8816
18,Korea,8385
19,Portugal,8380
20,Italy,7577
21,Poland,7270
22,Israel,7050
23,Czech Republic,6389
24,Latvia,6110
25,Mexico,5865
26,Lithuania,5860
