,Response,Share of users
0,Job portals,92%
1,Company career page,87%
2,Internal employee referrals,56%
3,Own network,53%
4,"Fairs (e.g. university fairs, job & career fairs)",48%
5,"Social media for direct contact (""Active Sourcing"")",46%
6,"Print media (newspapers, specialist magazines)",45%
7,Social media for job postings,45%
8,Social media for employer branding,43%
9,Intranet,39%
10,Personnel consultants/service providers/temporary work,34%
11,CV databases (internal),30%
12,External employee referrals,30%
13,CV databases (external),21%
14,"Other, not listed",3%
15,We're not recruiting,2%
