,Year,Gross domestic product in billion international dollars
0,2021*,64.01
1,2020*,34.75
2,2019*,83.54
3,2018*,74.72
4,2017,61.88
5,2016,37.03
6,2015,39.58
7,2014,45.03
8,2013,94.11
9,2012,146.4
10,2011,63.92
11,2010,187.8
12,2009,179.92
13,2008,184.06
14,2007,220.5
15,2006,201.91
16,2005,184.01
17,2004,159.52
18,2003,148.7
19,2002,129.18
20,2001,128.4
21,2000,127.9
22,1999,120.66
23,1998,118.4
24,1997,117.52
25,1996,116.23
26,1995,111.22
27,1994,124.35
28,1993,119.44
29,1992,121.24
30,1991,121.84
31,1990,101.9
32,1989,94.7
33,1988,85.01
34,1987,76.33
35,1986,87.32
36,1985,96.56
37,1984,93.04
