,Country,"Practicing nurses per 1,000 inhabitants"
0,Norway,17.7
1,Switzerland,17.2
2,Iceland*,14.5
3,Finland,14.3
4,Germany,12.9
5,Ireland*,12.2
6,United States*,11.7
7,Luxembourg,11.7
8,Australia,11.7
9,Japan,11.3
10,Belgium,11.0
11,Sweden,10.9
12,Netherlands,10.9
13,France*,10.5
14,New Zealand,10.2
15,Canada,10.0
16,Denmark,10.0
17,Slovenia,9.9
18,OECD36,8.8
19,Russian Federation,8.47
20,Czech Republic,8.1
21,United Kingdom,7.8
22,Lithuania,7.7
23,Korea,6.9
24,Austria,6.9
25,Portugal*,6.7
26,Hungary,6.5
27,Estonia,6.2
28,Italy,5.8
29,Spain,5.7
30,Slovak Republic*,5.7
31,Poland,5.1
32,Israel,5.1
33,Latvia,4.6
34,Greece,3.3
35,Costa Rica,3.2
36,Mexico,2.9
37,Chile,2.7
38,China,2.7
39,Turkey*,2.1
40,India,1.5
41,Brazil,1.5
42,South Africa,1.32
43,Colombia,1.3
44,Indonesia,1.16
