,Response,Percentage of physicians
0,Are employed by hospital or group,58
1,Are in private practice,31
2,Are in solo practice,18
3,In groups of 11 or more,44
4,Limit/do not see Medicaid patients,32
5,Limit/do not see Medicare patients,22
6,Spend between 11 and 15 hours each week on Non-clinical (paperwork) duties,19
7,Say morale is very or somewhat negative,55
8,Plan to retire in the next three years,17
9,Will switch to concierge,2
10,Workload at capacity or overextended,80
11,Would not recommend medicine as a career,51
12,Average hours per week (hours),51
13,Average patients seen per day (number),20
