,Month,Market share
0,Dec 19,3.17%
1,Nov 19,3.99%
2,Oct 19,5.12%
3,Sep 19,5.2%
4,Aug 19,4.54%
5,Jul 19,5.17%
6,Jun 19,5.1%
7,May 19,3.94%
8,Apr 19,3.77%
9,Mar 19,4.56%
10,Feb 19,3.09%
11,Jan 19,5.33%
12,Dec 18,2.04%
13,Nov 18,3.88%
14,Oct 18,4.61%
15,Sep 18,5.63%
16,Aug 18,3.85%
17,Jul 18,4.05%
18,Jun 18,4.13%
19,May 18,3.52%
20,Apr 18,4%
21,Mar 18,4.75%
22,Feb 18,3.35%
23,Jan 18,4.87%
24,Dec 17,3.4%
25,Nov 17,3.64%
26,Oct 17,3.82%
27,Sep 17,4.51%
28,Aug 17,3.59%
29,Jul 17,3.96%
30,Jun 17,3.93%
31,May 17,3.61%
32,Apr 17,3.36%
33,Mar 17,4.36%
34,Feb 17,3.72%
35,Jan 17,4.26%
36,Dec 16,2.61%
37,Nov 16,3.18%
38,Oct 16,2.96%
39,Sep 16,4.02%
40,Aug 16,2.69%
41,Jul 16,2.99%
42,Jun 16,3.88%
43,May 16,3.67%
44,Apr 16,3.51%
45,Mar 16,4.14%
46,Feb 16,2.97%
47,Jan 16,4.02%
48,Dec 15,2.65%
49,Nov 15,3.45%
50,Oct 15,3.47%
51,Sep 15,4.13%
52,Aug 15,2.93%
53,Jul 15,3.5%
54,Jun 15,3.8%
55,May 15,3.67%
56,Apr 15,3.57%
57,Mar 15,4.17%
58,Feb 15,3.84%
59,Jan 15,4.07%
60,Dec 14,3.42%
61,Nov 14,3.5%
62,Oct 14,3.47%
63,Sep 14,4.05%
64,Aug 14,2.73%
65,Jul 14,3.35%
