,Year,GDP per capita in U.S. dollars
0,2025,764.58
1,2024,745.25
2,2023,728.21
3,2022,712.58
4,2021,697.49
5,2020,732.07
6,2019,772.86
7,2018,868.28
8,2017,765.64
9,2016,735.76
10,2015,815.63
11,2014,830.03
12,2013,810.17
13,2012,766.81
14,2011,740.85
15,2010,662.01
16,2009,668.27
17,2008,674.86
18,2007,615.81
19,2006,505.5
20,2005,465.33
21,2004,387.95
22,2003,329.77
23,2002,393.0
24,2001,413.72
25,2000,462.49
26,1999,494.26
27,1998,450.95
28,1997,411.61
29,1996,364.99
30,1995,359.76
31,1994,231.27
32,1993,81.26
33,1992,72.42
34,1991,123.0
35,1990,139.69
36,1989,112.0
37,1988,123.63
38,1987,190.25
39,1986,393.13
40,1985,360.21
