,Response,Share of responding businesses
0,"Media, communication or information (e.g., broadcasting, telecoms, computer programming)",18%
1,Retail or wholesale (incl. online shops),16%
2,Other,15%
3,"Personal services (e.g. beauty and wellness, repair of household goods)",7%
4,"Professional services (e.g., financial services, consulting, travel agents, business services)",7%
5,"Accommodation (e.g., hotels, camping grounds)",6%
6,Manufacturing,6%
7,"Arts, entertainment or recreation (e.g., museum, creative arts, sports club)",6%
8,Restaurant/café or other food services,5%
9,"Healthcare (e.g., dentist, senior care)",3%
10,"Education (e.g., schools, tutoring, driving school)",2%
11,"Real estate (e.g., brokerage, leasing, management)",1%
12,Non-profit/charity organization,1%
13,Construction or home repair,1%
14,Automotive repair or services,1%
15,"Transportation or storage (e.g., taxi, warehousing)",0%
