,Month,Market share
0,Dec 20,4.06%
1,Nov 20,4.06%
2,Oct 20,3.77%
3,Sep 20,3.2%
4,Aug 20,4.04%
5,Jul 20,3.65%
6,Jun 20,3.55%
7,May 20,5.14%
8,Apr 20,4.37%
9,Mar 20,2.74%
10,Feb 20,3.69%
11,Jan 20,3.44%
12,Dec 19,3.84%
13,Nov 19,3.51%
14,Oct 19,3.55%
15,Sep 19,3.18%
16,Aug 19,3.9%
17,Jul 19,3.6%
18,Jun 19,3.27%
19,May 19,3.33%
20,Apr 19,3.52%
21,Mar 19,3.56%
22,Feb 19,3.99%
23,Jan 19,3.51%
24,Dec 18,3.31%
25,Nov 18,3.32%
26,Oct 18,3.53%
27,Sep 18,3.27%
28,Aug 18,4.21%
29,Jul 18,3.39%
30,Jun 18,3.31%
31,May 18,3.29%
32,Apr 18,3.71%
33,Mar 18,3.44%
34,Feb 18,3.79%
35,Jan 18,3.22%
36,Dec 17,2.71%
37,Nov 17,3.1%
38,Oct 17,3.29%
39,Sep 17,3.01%
40,Aug 17,3.4%
41,Jul 17,3%
42,Jun 17,3.16%
43,May 17,3.25%
44,Apr 17,3.55%
45,Mar 17,3.41%
46,Feb 17,3.94%
47,Jan 17,3.41%
