,Year,GDP per capita in U.S. dollars
0,2024*,13316.36
1,2023*,12445.46
2,2022*,11650.9
3,2021*,10887.5
4,2020*,10133.07
5,2019*,9518.44
6,2018,9313.83
7,2017,8275.44
8,2016,7496.08
9,2015,7017.41
10,2014,7888.56
11,2013,7667.59
12,2012,7399.39
13,2011,7836.58
14,2010,6743.74
15,2009,6859.68
16,2008,7152.79
17,2007,5812.68
18,2006,4444.51
19,2005,3839.45
20,2004,3344.62
21,2003,2689.77
22,2002,2074.58
23,2001,1783.72
24,2000,1613.94
25,1999,1673.66
26,1998,1631.94
27,1997,1228.13
28,1996,1153.87
29,1995,1511.49
30,1994,892.19
31,1993,501.48
32,1992,913.31
33,1991,222.71
34,1990,2253.9
35,1989,5079.81
36,1988,4965.9
37,1987,3030.63
38,1986,2611.0
39,1985,2949.18
40,1984,3446.96
