,Month,Market share
0,Oct,97.15%
1,Sep 20,96.9%
2,Aug 20,96.52%
3,Jul 20,96.74%
4,Jun 20,96.84%
5,May 20,97%
6,Apr 20,97.01%
7,Mar 20,97.06%
8,Feb 20,96.94%
9,Jan 20,96.88%
10,Dec 19,96.81%
11,Nov 19,96.94%
12,Oct 19,97.08%
13,Sep 19,96.63%
14,Aug 19,96.26%
15,Jul 19,96.31%
16,Jun 19,96.41%
17,May 19,96.43%
18,Apr 19,96.3%
19,Mar 19,96.35%
20,Feb 19,96.21%
21,Jan 19,96.24%
22,Dec 18,96.09%
23,Nov 18,95.38%
24,Oct 18,96.09%
25,Sep 18,95.74%
26,Aug 18,95.38%
27,Jul 18,95.69%
28,Jun 18,95.61%
29,May 18,95.52%
30,Apr 18,95.59%
31,Mar 18,95.93%
32,Feb 18,96.07%
33,Jan 18,96.23%
34,Dec 17,96.89%
35,Nov 17,96.98%
36,Oct 17,96.24%
37,Sept 17,95.74%
38,Aug 17,95.49%
39,Jul 17,95.46%
40,Jun 17,95.53%
41,May 17,95.82%
42,Apr 17,95.74%
43,Mar 17,95.59%
44,Feb 17,95.76%
45,Jan 17,95.76%
46,Dec 16,95.81%
47,Nov 16,95.68%
48,Oct 16,95.28%
49,Sep 16,95.61%
50,Aug 16,94.8%
51,Jul 16,94.48%
52,Jun 16,94.56%
53,May 16,94.47%
54,Apr 16,94.18%
55,Mar 16,94.28%
56,Feb 16,93.86%
57,Jan 16,93.71%
58,Dec 15,94.16%
59,Nov 15,94.22%
60,Oct 15,93.55%
61,Sep 15,93.34%
62,Aug 15,93.35%
63,Jul 15,92.88%
64,Jun 15,93.15%
65,May 15,92.35%
66,Apr 15,92.05%
