,chemical compound,Week-on-week price change
0,Cough and cold medication,10.7%
1,Pet food,3.1%
2,Paracetamol,2.8%
3,Rice,1.9%
4,Nappies,1.6%
5,Flour,1.4%
6,All High-demand product items,1.1%
7,Antibacterial hand wipes,0.9%
8,Tomato puree,0.5%
9,Spray cleaning products,0.4%
10,Tinned beans,0.4%
11,Vitamin C,0.4%
12,Pasta sauce,0.2%
13,Handwash,0.1%
14,Toilet rolls,0.1%
15,All household / hygiene items,0%
16,Ibuprofen,0%
17,Tissues,-0.3%
18,All food items,-0.4%
19,Long-life milk,-0.9%
20,Kitchen rolls,-0.9%
21,Tinned soup,-1%
22,Dried pasta,-1.3%
23,Baby food,-2.6%
24,Antibacterial surface wipes,-2.8%
