,Country,population mid-2018 (millions),Projected population (millions) – mid-2050
0,Germany,82.8,79.1
1,United Kingdom,66.4,74.7
2,France,65.1,72.3
3,Italy,60.6,57.6
4,Spain,46.7,44.3
5,Poland,38.4,34.0
6,Romania,19.5,15.1
7,Netherlands,17.2,18.4
8,Belgium,11.4,12.7
9,Czech Republic,10.6,10.5
10,Greece,10.6,10.0
11,Portugal,10.3,9.2
12,Sweden,10.2,12.0
13,Hungary,9.8,9.2
14,Austria,8.8,9.7
15,Bulgaria,7.0,5.8
16,Denmark,5.8,6.4
17,Finland,5.5,5.9
18,Slovakia,5.4,5.0
19,Ireland,4.9,6.8
20,Croatia,4.1,3.5
21,Lithuania,2.8,2.4
22,Slovenia,2.1,1.9
23,Latvia,1.9,1.5
24,Estonia,1.3,1.1
25,Cyprus,1.2,1.4
26,Luxembourg,0.6,0.8
27,Malta,0.5,0.5
