,Month,Number of viewers in thousands
0,November 2020,39.42
1,October 2020,32.61
2,September 2020,28.98
3,Augsut 2020,34.07
4,July 2020,29.17
5,June 2020,27.86
6,May 2020,30.41
7,April 2020,40.74
8,March 2020,32.13
9,February 2020,27.52
10,January 2020,28.5
11,December 2019,35.15
12,November 2019,36.61
13,October 2019,19.01
14,September 2019,23.14
15,August 2019,28.96
16,July 2019,15.18
17,June 2019,29.19
18,May 2019,33.06
19,April 2019,47.75
20,March 2019,21.47
21,February 2019,20.42
22,January 2019,32.88
23,December 2018,41.8
24,November 2018,27.06
25,October 2018,29.83
26,September 2018,33.65
27,August 2018,50.81
28,July 2018,37.43
29,June 2018,38.38
30,May 2018,45.35
31,April 2018,59.68
32,March 2018,37.77
33,February 2018,41.63
34,January 2018,47.13
