,Response,Share of enterprises
0,"Decrease in demand (less customers, orders etc.)",72%
1,We need to shut down the company due to the emergency measures,35%
2,The ban on public events and shortened opening times hinder our business,21%
3,The enterprises we deliver to order less,19%
4,Import substitution is necessary,10%
5,Foreign factories and customers order less,8%
6,There is a lack of workforce,6%
7,"Prices in the sector decreased, which caused a decrease in profitability",6%
8,The virus does not have any negative effects,2%
9,The foreign parent company reduced its orders,2%
