,Month,Price in GBP per kilogram
0,Nov '19,0.8
1,Oct '19,0.76
2,Sep '19,0.95
3,Aug '19,1.13
4,Jun '19,0.88
5,May '19,0.66
6,Apr '19,0.75
7,Mar '19,0.7
8,Feb '19,0.67
9,Jan '19,0.55
10,Dec '18,0.54
11,Nov '18,0.64
12,Oct '18,0.64
13,Sep '18,0.78
14,Aug '18,1.0
15,May '18,0.94
16,Apr '18,0.89
17,Mar '18,0.73
18,Feb '18,0.72
19,Jan '18,0.65
20,Dec '17,0.65
21,Nov '17,0.69
22,Oct '17,0.68
23,Sep '17,0.8
24,Aug '17,1.12
25,May '17,0.67
26,Apr '17,0.75
27,Mar '17,0.8
28,Feb '17,0.55
29,Jan '17,0.53
30,Dec '16,0.57
31,Nov '16,0.6
32,Oct '16,0.62
33,Sep '16,0.67
34,Aug '16,1.43
35,May '16,0.5
36,Apr '16,0.55
37,Mar '16,0.55
38,Feb '16,0.52
39,Jan '16,0.5
40,Dec '15,0.48
41,Nov '15,0.53
42,Oct '15,0.56
43,Sep '15,0.68
44,Aug '15,0.82
45,Jul '15,0.51
46,Jun '15,0.58
47,May '15,0.54
48,Apr '15,0.45
49,Mar '15,0.44
50,Feb '15,0.48
51,Jan '15,0.48
