,Year,GDP per capita in U.S. dollars
0,2025,12851.79
1,2024,11691.68
2,2023,10650.4
3,2022,9716.13
4,2021,8874.21
5,2020,8073.58
6,2019,7723.68
7,2018,7064.74
8,2017,6642.52
9,2016,6412.14
10,2015,6432.67
11,2014,7962.37
12,2013,7304.42
13,2012,6675.28
14,2011,5649.98
15,2010,4439.2
16,2009,4036.46
17,2008,4350.13
18,2007,5312.93
19,2006,4429.64
20,2005,3596.23
21,2004,3004.97
22,2003,2443.63
23,2002,1880.29
24,2001,1514.43
25,2000,1109.22
26,1999,861.86
27,1998,647.36
28,1997,614.77
29,1996,554.28
30,1995,1394.43
