,Month,EUR/USD exchange rate
0,Nov 2020,1.18
1,Oct 2020,1.18
2,Sep 2020,1.18
3,Aug 2020,1.18
4,Jul 2020,1.15
5,Jun 2020,1.13
6,May 2020,1.09
7,Apr 2020,1.09
8,Mar 2020,1.11
9,Feb 2020,1.09
10,Jan 2020,1.11
11,Dec 2019,1.11
12,Nov 2019,1.11
13,Oct 2019,1.11
14,Sep 2019,1.1
15,Aug 2019,1.11
16,Jul 2019,1.12
17,Jun 2019,1.13
18,May 2019,1.12
19,Apr 2019,1.12
20,Mar 2019,1.13
21,Feb 2019,1.14
22,Jan 2019,1.14
23,Dec 2018,1.14
24,Nov 2018,1.14
25,Oct 2018,1.15
26,Sep 2018,1.17
27,Aug 2018,1.15
28,Jul 2018,1.17
29,Jun 2018,1.17
30,May 2018,1.18
31,Apr 2018,1.23
32,Mar 2018,1.23
33,Feb 2018,1.23
34,Jan 2018,1.22
35,Dec 2017,1.18
36,Nov 2017,1.17
37,Oct 2017,1.18
38,Sep 2017,1.19
39,Aug 2017,1.18
40,Jul 2017,1.15
41,Jun 2017,1.12
42,May 2017,1.11
43,Apr 2017,1.07
44,Mar 2017,1.07
45,Feb 2017,1.06
46,Jan 2017,1.06
47,Dec 2016,1.05
48,Nov 2016,1.08
49,Oct 2016,1.1
50,Sep 2016,1.12
51,Aug 2016,1.12
52,Jul 2016,1.11
53,Jun 2016,1.12
54,May 2016,1.13
55,Apr 2016,1.13
56,Mar 2016,1.11
57,Feb 2016,1.11
58,Jan 2016,1.09
59,Dec 2015,1.09
60,Nov 2015,1.07
61,Oct 2015,1.12
62,Sep 2015,1.12
63,Aug 2015,1.11
64,Jul 2015,1.1
65,Jun 2015,1.12
66,May 2015,1.12
67,Apr 2015,1.08
68,Mar 2015,1.08
69,Feb 2015,1.14
70,Jan 2015,1.16
71,Dec 2014,1.23
72,Nov 2014,1.25
73,Oct 2014,1.27
74,Sep 2014,1.29
75,Aug 2014,1.33
76,Jul 2014,1.35
77,Jun 2014,1.36
78,May 2014,1.37
79,Apr 2014,1.38
80,Mar 2014,1.38
81,Feb 2014,1.37
82,Jan 2014,1.36
83,Dec 2013,1.37
84,Nov 2013,1.35
85,Oct 2013,1.36
86,Sep 2013,1.33
87,Aug 2013,1.33
88,Jul 2013,1.31
89,Jun 2013,1.32
90,May 2013,1.3
91,Apr 2013,1.3
92,Mar 2013,1.3
93,Feb 2013,1.34
94,Jan 2013,1.33
95,Dec 2012,1.31
96,Nov 2012,1.28
97,Oct 2012,1.3
98,Sep 2012,1.29
99,Aug 2012,1.24
100,Jul 2012,1.23
101,Jun 2012,1.25
102,May 2012,1.28
103,Apr 2012,1.32
104,Mar 2012,1.32
105,Feb 2012,1.32
106,Jan 2012,1.29
107,Dec 2011,1.32
108,Nov 2011,1.36
109,Oct 2011,1.37
110,Sep 2011,1.38
111,Aug 2011,1.43
112,Jul 2011,1.43
113,Jun 2011,1.44
114,May 2011,1.43
115,Apr 2011,1.44
116,Mar 2011,1.4
117,Feb 2011,1.36
118,Jan 2011,1.34
119,Dec 2010,1.32
120,Nov 2010,1.37
121,Oct 2010,1.39
122,Sep 2010,1.31
123,Aug 2010,1.29
124,Jul 2010,1.28
125,Jun 2010,1.22
126,May 2010,1.26
127,Apr 2010,1.34
128,Mar 2010,1.36
129,Feb 2010,1.37
130,Jan 2010,1.43
131,Dec 2009,1.46
132,Nov 2009,1.49
133,Oct 2009,1.48
134,Sep 2009,1.46
135,Aug 2009,1.43
136,Jul 2009,1.41
137,Jun 2009,1.4
138,May 2009,1.37
139,Apr 2009,1.32
140,Mar 2009,1.31
141,Feb 2009,1.28
142,Jan 2009,1.32
143,Dec 2008,1.34
144,Nov 2008,1.27
145,Oct 2008,1.33
146,Sep 2008,1.44
147,Aug 2008,1.5
148,Jul 2008,1.58
149,Jun 2008,1.56
150,May 2008,1.56
151,Apr 2008,1.58
152,Mar 2008,1.55
153,Feb 2008,1.47
154,Jan 2008,1.47
155,Dec 2007,1.46
156,Nov 2007,1.47
157,Oct 2007,1.42
158,Sep 2007,1.39
159,Aug 2007,1.36
160,Jul 2007,1.37
161,Jun 2007,1.34
162,May 2007,1.35
163,Apr 2007,1.35
164,Mar 2007,1.32
165,Feb 2007,1.31
166,Jan 2007,1.3
167,Dec 2006,1.32
168,Nov 2006,1.29
169,Oct 2006,1.26
170,Sep 2006,1.27
171,Aug 2006,1.28
172,Jul 2006,1.27
173,Jun 2006,1.27
174,May 2006,1.28
175,Apr 2006,1.23
176,Mar 2006,1.2
177,Feb 2006,1.19
178,Jan 2006,1.21
179,Dec 2005,1.19
180,Nov 2005,1.18
181,Oct 2005,1.2
182,Sep 2005,1.23
183,Aug 2005,1.23
184,Jul 2005,1.2
185,Jun 2005,1.22
186,May 2005,1.27
187,Apr 2005,1.29
188,Mar 2005,1.32
189,Feb 2005,1.3
190,Jan 2005,1.31
191,Dec 2004,1.34
192,Nov 2004,1.3
193,Oct 2004,1.25
194,Sep 2004,1.22
195,Aug 2004,1.22
196,Jul 2004,1.23
197,Jun 2004,1.21
198,May 2004,1.2
199,Apr 2004,1.2
200,Mar 2004,1.23
201,Feb 2004,1.26
202,Jan 2004,1.26
203,Dec 2003,1.23
204,Nov 2003,1.17
205,Oct 2003,1.17
206,Sep 2003,1.12
207,Aug 2003,1.11
208,Jul 2003,1.14
209,Jun 2003,1.17
210,May 2003,1.16
211,Apr 2003,1.08
212,Mar 2003,1.08
213,Feb 2003,1.08
214,Jan 2003,1.06
215,Dec 2002,1.02
216,Nov 2002,1.0
217,Oct 2002,0.98
218,Sep 2002,0.98
219,Aug 2002,0.98
220,Jul 2002,0.99
221,Jun 2002,0.96
222,May 2002,0.92
223,Apr 2002,0.89
224,Mar 2002,0.88
225,Feb 2002,0.87
226,Jan 2002,0.88
227,Dec 2001,0.89
228,Nov 2001,0.89
229,Oct 2001,0.91
230,Sep 2001,0.91
231,Aug 2001,0.9
232,Jul 2001,0.86
233,Jun 2001,0.85
234,May 2001,0.87
235,Apr 2001,0.89
236,Mar 2001,0.91
237,Feb 2001,0.92
238,Jan 2001,0.94
239,Dec 2000,0.9
240,Nov 2000,0.86
241,Oct 2000,0.86
242,Sep 2000,0.87
243,Aug 2000,0.9
244,Jul 2000,0.94
245,Jun 2000,0.95
246,May 2000,0.91
247,Apr 2000,0.95
248,Mar 2000,0.96
249,Feb 2000,0.98
250,Jan 2000,1.01
251,Dec 1999,1.01
252,Nov 1999,1.03
253,Oct 1999,1.07
254,Sep 1999,1.05
255,Aug 1999,1.06
256,Jul 1999,1.04
257,Jun 1999,1.04
258,May 1999,1.06
259,Apr 1999,1.07
260,Mar 1999,1.09
261,Feb 1999,1.12
262,Jan 1999,1.16
