,Year,Number of nuclear power plants
0,2019,443
1,2018,450
2,2017,448
3,2016,447
4,2015,441
5,2014,438
6,2013,434
7,2012,437
8,2011,435
9,2010,441
10,2009,437
11,2008,438
12,2007,439
13,2006,435
14,2005,441
15,2004,438
16,2003,437
17,2002,439
18,2001,438
19,2000,435
20,1999,432
21,1998,430
22,1997,433
23,1996,438
24,1995,434
25,1994,429
26,1993,427
27,1992,418
28,1991,415
29,1990,416
30,1989,420
31,1988,416
32,1987,407
33,1986,389
34,1985,363
35,1984,336
36,1983,306
37,1982,284
38,1981,267
39,1980,245
40,1979,225
41,1978,219
42,1977,200
43,1976,186
44,1975,169
45,1974,154
46,1973,132
47,1972,113
48,1971,99
49,1970,84
50,1969,78
51,1968,68
52,1967,64
53,1966,55
54,1965,48
55,1964,40
56,1963,33
57,1962,25
58,1961,16
59,1960,15
60,1959,11
61,1958,6
62,1957,5
63,1956,2
64,1955,1
65,1954,1
