,Industry,Real value added in billion chained (2012) U.S. dollars
0,"Finance, insurance, real estate, rental, and leasing",10.52
1,Government and government enterprises,5.09
2,"Educational services, health care, and social assistance",5.05
3,"Agriculture, forestry, fishing, and hunting",5.0
4,Manufacturing,4.52
5,Retail trade,3.47
6,Wholesale trade,3.16
7,Professional and business services,3.1
8,"Arts, entertainment, recreation, accommodation, and food services",1.67
9,Construction,1.61
10,Information,1.57
11,Transportation and warehousing,1.03
12,Utilities,0.79
13,"Mining, quarrying, and oil and gas extraction",0.15
