,Industry,Real value added in billion chained (2012) U.S. dollars
0,"Mining, quarrying, and oil and gas extraction",9.8
1,Government and government enterprises,5.53
2,"Finance, insurance, real estate, rental, and leasing",4.76
3,Transportation and warehousing,3.39
4,Manufacturing,2.4
5,Retail trade,2.0
6,Professional and business services,1.89
7,"Educational services, health care, and social assistance",1.73
8,Construction,1.69
9,"Arts, entertainment, recreation, accommodation, and food services",1.37
10,Wholesale trade,1.34
11,"Agriculture, forestry, fishing, and hunting",1.08
12,Utilities,0.9
13,Information,0.74
