,Month,Retail sales value in billion GBP
0,Jun 20,40.29
1,May 20,28.48
2,Apr 20,25.06
3,Mar 20,37.9
4,Feb 20,31.16
5,Jan 20,38.29
6,Dec 19,52.79
7,Nov 19,37.14
8,Oct 19,34.03
9,Sep 19,40.9
10,Aug 19,33.01
11,Jul 19,34.11
12,Jun 19,41.64
13,May 19,33.08
14,Apr 19,32.91
15,Mar 19,39.88
16,Feb 19,30.61
17,Jan 19,29.57
18,Dec 18,51.06
19,Nov 18,37.28
20,Oct 18,32.96
21,Sep 18,39.64
22,Aug 18,31.89
23,Jul 18,32.64
24,Jun 18,39.91
25,May 18,32.26
26,Apr 18,30.64
27,Mar 18,37.75
28,Feb 18,29.25
29,Jan 18,28.42
30,Dec 17,49.72
31,Nov 17,35.63
32,Oct 17,31.76
33,Sep 17,37.81
34,Aug 17,30.19
35,Jul 17,30.73
36,Jun 17,37.87
37,May 17,30.3
38,Apr 17,30.44
39,Mar 17,35.99
40,Feb 17,28.07
41,Jan 17,27.25
42,Dec 16,47.54
43,Nov 16,34.09
44,Oct 16,30.8
45,Sep 16,36.12
46,Aug 16,28.66
47,Jul 16,29.64
48,Jun 16,35.95
49,May 16,29.09
50,Apr 16,28.14
51,Mar 16,34.46
52,Feb 16,26.62
53,Jan 16,26.59
54,Dec 15,44.38
55,Nov 15,32.14
56,Oct 15,28.9
57,Sep 15,35.05
58,Aug 15,27.46
59,Jul 15,28.59
60,Jun 15,35.7
61,May 15,28.27
62,Apr 15,27.64
63,Mar 15,34.44
64,Feb 15,26.23
65,Jan 15,26.02
