,Country,Volume in thousand tonnes
0,Poland,3999.52
1,Turkey *,3032.0
2,Italy,2449.09
3,France,1781.93
4,Germany,1198.52
5,Hungary,674.53
6,Spain,562.95
7,Romania,548.09
8,United Kingdom,502.7
9,Austria,387.95
10,Serbia *,378.64
11,Greece,282.8
12,Belgium **,273.95
13,Netherlands,269.1
14,Portugal,267.44
15,Switzerland,167.11
16,Czechia,151.53
17,North Macedonia,140.3
18,Bosnia and Herzegovina ***,112.51
19,Albania *,96.3
20,Croatia,88.72
21,Slovenia,86.59
22,Lithuania,80.68
23,Bulgaria,50.3
24,Slovakia,43.93
25,Denmark,32.65
26,Sweden,30.61
27,Ireland,20.14
28,Latvia,13.9
29,Kosovo*,13.2
30,Norway *,12.66
31,Finland,7.2
32,Cyprus **,3.77
33,Luxembourg,2.08
34,Montenegro **,1.69
35,Estonia,1.64
36,Malta,0.02
