,Quarter,Expenditure in million GBP
0,Q4 2018,11447
1,Q3 2018,11298
2,Q2 2018,11210
3,Q1 2018,10903
4,Q4 2017,10757
5,Q3 2017,10691
6,Q2 2017,10722
7,Q1 2017,10463
8,Q4 2016,10355
9,Q3 2016,10467
10,Q2 2016,10463
11,Q1 2016,10309
12,Q4 2015,10318
13,Q3 2015,10241
14,Q2 2015,10205
15,Q1 2015,10390
16,Q4 2014,10458
17,Q3 2014,10510
18,Q2 2014,10429
19,Q1 2014,10663
20,Q4 2013,10492
21,Q3 2013,10567
22,Q2 2013,10136
23,Q1 2013,10639
24,Q4 2012,10383
25,Q3 2012,10358
26,Q2 2012,10391
27,Q1 2012,10603
