,Year,Inflation rate compared to previous year
0,2024*,2%
1,2023*,2%
2,2022*,2%
3,2021*,2%
4,2020*,2%
5,2019*,1%
6,2018*,0.42%
7,2017,0.69%
8,2016,0.72%
9,2015,1.24%
10,2014,0.45%
11,2013,2.58%
12,2012,1.3%
13,2011,4.9%
14,2010,1.37%
15,2009,1.01%
16,2008,6.32%
17,2007,1.9%
18,2006,2.47%
19,2005,3.88%
20,2004,1.46%
21,2003,3.3%
22,2002,3.08%
23,2001,4.36%
24,2000,2.53%
25,1999,0.74%
26,1998,4.5%
27,1997,6.3%
28,1996,2.7%
29,1995,14.1%
30,1994,25.96%
31,1993,2.13%
32,1992,4.22%
33,1991,1.58%
34,1990,-0.66%
35,1989,0.99%
36,1988,6.94%
37,1987,6.98%
38,1986,6.84%
39,1985,1.75%
40,1984,4.28%
