,Quarter,Percentage change
0,Q3 '20,-2.8%
1,Q2 '20,-9%
2,Q1 '20,0.3%
3,Q4 '19,2.3%
4,Q3 '19,2.1%
5,Q2 '19,2%
6,Q1 '19,2.3%
7,Q4 '18,2.5%
8,Q3 '18,3.1%
9,Q2 '18,3.3%
10,Q1 '18,3.1%
11,Q4 '17,2.8%
12,Q3 '17,2.4%
13,Q2 '17,2.2%
14,Q1 '17,2.1%
15,Q4 '16,2%
16,Q3 '16,1.6%
17,Q2 '16,1.3%
18,Q1 '16,1.6%
19,Q4 '15,1.9%
20,Q3 '15,2.4%
21,Q2 '15,3.3%
22,Q1 '15,4%
23,Q4 '14,2.9%
24,Q3 '14,3.1%
25,Q2 '14,2.7%
26,Q1 '14,1.4%
27,Q4 '13,2.6%
28,Q3 '13,1.9%
29,Q2 '13,1.3%
30,Q1 '13,1.6%
31,Q4 '12,1.5%
32,Q3 '12,2.5%
33,Q2 '12,2.4%
34,Q1 '12,2.7%
35,Q4 '11,1.6%
36,Q3 '11,0.9%
37,Q2 '11,1.7%
38,Q1 '11,1.9%
39,Q4 '10,2.6%
40,Q3 '10,3.2%
41,Q2 '10,2.8%
42,Q1' 10,1.7%
